,estacao,datahora,wspd,wdir,gust,tar,prp,neb,cld,cldcb,vis,tp,datazulu
87,SBEG,2024-12-27 02:00:00,4,250,9,24,5,21,BKN,s,7000,TS,2024-12-27 06:00:00
88,SBEG,2024-12-27 05:00:00,2,45,10,24,0.6,21,BKN,s,7000,TS,2024-12-27 09:00:00
89,SBEG,2024-12-27 08:00:00,3,80,7,26,,3,SCT,n,9999,,2024-12-27 12:00:00
90,SBEG,2024-12-27 11:00:00,2,76,11,29,0.7,21,BKN,s,7000,TS,2024-12-27 15:00:00
91,SBEG,2024-12-27 14:00:00,3,338,12,26,10,21,BKN,s,7000,TS,2024-12-27 18:00:00
92,SBEG,2024-12-27 17:00:00,1,51,9,28,0.3,18,SCT,n,7000,,2024-12-27 21:00:00
93,SBEG,2024-12-27 20:00:00,1,60,5,26,,2,FEW,n,9999,,2024-12-28 00:00:00
94,SBUA,2024-12-22 02:00:00,1,183,6,24,3.7,21,BKN,s,7000,TS,2024-12-22 06:00:00
95,SBUA,2024-12-22 05:00:00,1,55,5,24,3.1,14,BKN,s,7000,TS,2024-12-22 09:00:00
96,SBUA,2024-12-22 08:00:00,3,212,7,24,2.3,21,BKN,s,7000,TS,2024-12-22 12:00:00
97,SBUA,2024-12-22 11:00:00,2,134,10,26,1.8,21,BKN,s,7000,TS,2024-12-22 15:00:00
98,SBUA,2024-12-22 14:00:00,2,115,11,28,1.5,21,BKN,s,7000,TS,2024-12-22 18:00:00
99,SBUA,2024-12-22 17:00:00,1,117,10,28,0.4,18,SCT,n,7000,,2024-12-22 21:00:00
100,SBUA,2024-12-22 20:00:00,1,320,5,25,,1,CAVOK,n,9999,,2024-12-23 00:00:00
101,SBUA,2024-12-22 23:00:00,2,186,3,25,,2,FEW,n,9999,,2024-12-23 03:00:00
102,SBUA,2024-12-23 02:00:00,3,216,5,25,,3,SCT,n,9999,,2024-12-23 06:00:00
103,SBUA,2024-12-23 05:00:00,3,192,7,25,,17,BKN,n,3500,BR,2024-12-23 09:00:00
104,SBUA,2024-12-23 08:00:00,4,144,11,24,3.7,21,BKN,s,7000,TS,2024-12-23 12:00:00
105,SBUA,2024-12-23 11:00:00,3,76,13,26,1.4,14,BKN,s,7000,TS,2024-12-23 15:00:00
106,SBUA,2024-12-23 14:00:00,2,21,11,30,0.8,14,BKN,s,7000,TS,2024-12-23 18:00:00
107,SBUA,2024-12-23 17:00:00,2,68,12,26,2.7,21,BKN,s,7000,TS,2024-12-23 21:00:00
108,SBUA,2024-12-23 20:00:00,0,251,6,25,,2,FEW,n,9999,,2024-12-24 00:00:00
109,SBUA,2024-12-23 23:00:00,2,203,4,24,,3,SCT,n,9999,,2024-12-24 03:00:00
110,SBUA,2024-12-24 02:00:00,2,212,4,24,,17,BKN,n,3500,BR,2024-12-24 06:00:00
111,SBUA,2024-12-24 05:00:00,2,236,4,24,,17,BKN,n,3500,BR,2024-12-24 09:00:00
112,SBUA,2024-12-24 08:00:00,3,13,8,24,2.7,14,BKN,s,7000,TS,2024-12-24 12:00:00
113,SBUA,2024-12-24 11:00:00,1,118,9,25,4.5,21,BKN,s,7000,TS,2024-12-24 15:00:00
114,SBUA,2024-12-24 14:00:00,1,14,9,29,0.4,14,BKN,s,7000,TS,2024-12-24 18:00:00
115,SBUA,2024-12-24 17:00:00,2,329,9,27,0.8,21,BKN,s,7000,TS,2024-12-24 21:00:00
116,SBUA,2024-12-24 20:00:00,1,20,7,25,1.6,21,BKN,s,7000,TS,2024-12-25 00:00:00
117,SBUA,2024-12-24 23:00:00,1,110,2,25,,2,FEW,n,9999,,2024-12-25 03:00:00
118,SBUA,2024-12-25 02:00:00,0,213,2,24,0.3,18,SCT,n,7000,,2024-12-25 06:00:00
119,SBUA,2024-12-25 05:00:00,0,49,1,24,,3,SCT,n,9999,,2024-12-25 09:00:00
120,SBUA,2024-12-25 08:00:00,3,37,8,25,,3,SCT,n,9999,,2024-12-25 12:00:00
121,SBUA,2024-12-25 11:00:00,2,37,11,28,2.3,14,BKN,s,7000,TS,2024-12-25 15:00:00
122,SBUA,2024-12-25 14:00:00,1,49,11,30,2.8,21,BKN,s,7000,TS,2024-12-25 18:00:00
