,estacao,datahora,wspd,wdir,gust,tar,prp,neb,cld,cldcb,vis,tp,datazulu
144,SBTF,2024-12-22 11:00:00,3,153,15,27,1.9,21,BKN,s,7000,TS,2024-12-22 15:00:00
145,SBTF,2024-12-22 14:00:00,1,27,15,29,3.6,21,BKN,s,7000,TS,2024-12-22 18:00:00
146,SBTF,2024-12-22 17:00:00,1,322,13,29,1.8,21,BKN,s,7000,TS,2024-12-22 21:00:00
147,SBTF,2024-12-22 20:00:00,2,303,12,27,1.2,21,BKN,s,7000,TS,2024-12-23 00:00:00
148,SBTF,2024-12-22 23:00:00,2,226,5,27,,3,SCT,n,9999,,2024-12-23 03:00:00
149,SBTF,2024-12-23 02:00:00,2,178,9,26,6,6,BKN,n,3500,RA,2024-12-23 06:00:00
150,SBTF,2024-12-23 05:00:00,3,138,10,26,4.1,21,BKN,s,7000,TS,2024-12-23 09:00:00
151,SBTF,2024-12-23 08:00:00,3,133,7,26,0.5,19,BKN,n,4000,BR,2024-12-23 12:00:00
152,SBTF,2024-12-23 11:00:00,2,85,11,29,,3,SCT,n,9999,,2024-12-23 15:00:00
153,SBTF,2024-12-23 14:00:00,0,343,9,30,0.7,21,BKN,s,7000,TS,2024-12-23 18:00:00
154,SBTF,2024-12-23 17:00:00,1,263,7,29,0.4,19,BKN,n,4000,BR,2024-12-23 21:00:00
155,SBTF,2024-12-23 20:00:00,3,329,6,28,0.4,19,BKN,n,4000,BR,2024-12-24 00:00:00
156,SBTF,2024-12-23 23:00:00,3,3,8,27,1.6,14,BKN,s,7000,TS,2024-12-24 03:00:00
157,SBTF,2024-12-24 02:00:00,2,226,5,26,6,6,BKN,n,3500,RA,2024-12-24 06:00:00
158,SBTF,2024-12-24 05:00:00,2,213,5,25,,3,SCT,n,9999,,2024-12-24 09:00:00
159,SBTF,2024-12-24 08:00:00,2,201,5,26,,3,SCT,n,9999,,2024-12-24 12:00:00
160,SBTF,2024-12-24 11:00:00,1,262,9,29,1,21,BKN,s,7000,TS,2024-12-24 15:00:00
161,SBTF,2024-12-24 14:00:00,0,38,6,30,3.3,21,BKN,s,7000,TS,2024-12-24 18:00:00
162,SBTF,2024-12-24 17:00:00,1,301,6,30,0.3,21,BKN,s,7000,TS,2024-12-24 21:00:00
163,SBTF,2024-12-24 20:00:00,3,357,8,28,1.4,21,BKN,s,7000,TS,2024-12-25 00:00:00
164,SBTF,2024-12-24 23:00:00,3,57,7,27,1.6,19,BKN,n,4000,BR,2024-12-25 03:00:00
165,SBTF,2024-12-25 02:00:00,3,67,7,26,2.7,6,BKN,n,3500,RA,2024-12-25 06:00:00
166,SBTF,2024-12-25 05:00:00,2,87,5,26,1,19,BKN,n,4000,BR,2024-12-25 09:00:00
167,SBTF,2024-12-25 08:00:00,2,91,5,26,,3,SCT,n,9999,,2024-12-25 12:00:00
168,SBTF,2024-12-25 11:00:00,3,35,8,29,,3,SCT,n,9999,,2024-12-25 15:00:00
169,SBTF,2024-12-25 14:00:00,2,25,10,31,1.9,21,BKN,s,7000,TS,2024-12-25 18:00:00
170,SBTF,2024-12-25 17:00:00,1,296,5,29,2.3,21,BKN,s,7000,TS,2024-12-25 21:00:00
171,SBTF,2024-12-25 20:00:00,1,74,4,28,1.6,19,BKN,n,4000,BR,2024-12-26 00:00:00
172,SBTF,2024-12-25 23:00:00,2,63,5,27,7,21,BKN,s,7000,TS,2024-12-26 03:00:00
173,SBTF,2024-12-26 02:00:00,2,35,6,26,9,14,BKN,s,7000,TS,2024-12-26 06:00:00
174,SBTF,2024-12-26 05:00:00,2,191,4,26,4.4,7,BKN,n,3500,RA,2024-12-26 09:00:00
175,SBTF,2024-12-26 08:00:00,3,194,6,26,,4,SCT,n,9999,,2024-12-26 12:00:00
176,SBTF,2024-12-26 11:00:00,2,136,5,28,,3,SCT,n,9999,,2024-12-26 15:00:00
177,SBTF,2024-12-26 14:00:00,1,350,7,30,0.3,21,BKN,s,7000,TS,2024-12-26 18:00:00
178,SBTF,2024-12-26 17:00:00,1,221,5,29,0.3,19,BKN,n,4000,BR,2024-12-26 21:00:00
179,SBTF,2024-12-26 20:00:00,2,124,6,28,0.9,19,BKN,n,4000,BR,2024-12-27 00:00:00
180,SBTF,2024-12-26 23:00:00,2,188,5,27,1.9,19,BKN,n,4000,BR,2024-12-27 03:00:00
181,SBTF,2024-12-27 02:00:00,1,203,4,26,1.5,21,BKN,s,7000,TS,2024-12-27 06:00:00
182,SBTF,2024-12-27 05:00:00,1,175,4,25,6,6,BKN,n,3500,RA,2024-12-27 09:00:00
183,SBTF,2024-12-27 08:00:00,1,94,3,26,,3,SCT,n,9999,,2024-12-27 12:00:00
184,SBTF,2024-12-27 11:00:00,3,50,7,29,0.4,21,BKN,s,7000,TS,2024-12-27 15:00:00
185,SBTF,2024-12-27 14:00:00,1,250,5,29,4.8,21,BKN,s,7000,TS,2024-12-27 18:00:00
186,SBTF,2024-12-27 17:00:00,1,264,4,29,1.4,21,BKN,s,7000,TS,2024-12-27 21:00:00
187,SBTF,2024-12-27 20:00:00,0,332,2,28,0.7,21,BKN,s,7000,TS,2024-12-28 00:00:00
188,SBMY,2024-12-22 02:00:00,1,102,6,25,5,21,BKN,s,7000,TS,2024-12-22 06:00:00
189,SBMY,2024-12-22 05:00:00,1,117,6,25,8,7,BKN,n,3500,RA,2024-12-22 09:00:00
190,SBMY,2024-12-22 08:00:00,3,116,6,25,1.6,20,BKN,n,4000,BR,2024-12-22 12:00:00
191,SBMY,2024-12-22 11:00:00,2,155,7,27,1.4,20,BKN,n,4000,BR,2024-12-22 15:00:00
192,SBMY,2024-12-22 14:00:00,3,84,12,28,1,21,BKN,s,7000,TS,2024-12-22 18:00:00
193,SBMY,2024-12-22 17:00:00,1,82,10,29,0.6,21,BKN,s,7000,TS,2024-12-22 21:00:00
194,SBMY,2024-12-22 20:00:00,2,179,4,27,,3,SCT,n,9999,,2024-12-23 00:00:00
195,SBMY,2024-12-22 23:00:00,2,177,3,26,,3,SCT,n,9999,,2024-12-23 03:00:00
196,SBMY,2024-12-23 02:00:00,2,186,3,25,,3,SCT,n,9999,,2024-12-23 06:00:00
197,SBMY,2024-12-23 05:00:00,1,171,2,24,,3,SCT,n,9999,,2024-12-23 09:00:00
198,SBMY,2024-12-23 08:00:00,3,179,7,27,,3,SCT,n,9999,,2024-12-23 12:00:00
199,SBMY,2024-12-23 11:00:00,2,124,12,31,,3,SCT,n,9999,,2024-12-23 15:00:00
200,SBMY,2024-12-23 14:00:00,2,90,13,33,,3,SCT,n,9999,,2024-12-23 18:00:00
201,SBMY,2024-12-23 17:00:00,3,62,8,31,0.4,21,BKN,s,7000,TS,2024-12-23 21:00:00
202,SBMY,2024-12-23 20:00:00,2,103,2,28,,3,SCT,n,9999,,2024-12-24 00:00:00
203,SBMY,2024-12-23 23:00:00,2,158,3,26,,2,FEW,n,9999,,2024-12-24 03:00:00
204,SBMY,2024-12-24 02:00:00,2,342,3,26,0.7,19,BKN,n,4000,BR,2024-12-24 06:00:00
205,SBMY,2024-12-24 05:00:00,1,312,3,25,1.4,21,BKN,s,7000,TS,2024-12-24 09:00:00
206,SBMY,2024-12-24 08:00:00,2,327,5,26,0.6,19,BKN,n,4000,BR,2024-12-24 12:00:00
207,SBMY,2024-12-24 11:00:00,1,54,7,29,1.7,21,BKN,s,7000,TS,2024-12-24 15:00:00
208,SBMY,2024-12-24 14:00:00,2,16,7,31,0.4,21,BKN,s,7000,TS,2024-12-24 18:00:00
209,SBMY,2024-12-24 17:00:00,3,56,9,29,0.7,21,BKN,s,7000,TS,2024-12-24 21:00:00
210,SBMY,2024-12-24 20:00:00,1,133,3,27,0.2,18,SCT,n,7000,,2024-12-25 00:00:00
211,SBMY,2024-12-24 23:00:00,1,237,1,26,,3,SCT,n,9999,,2024-12-25 03:00:00
212,SBMY,2024-12-25 02:00:00,1,314,5,25,1.3,21,BKN,s,7000,TS,2024-12-25 06:00:00
213,SBMY,2024-12-25 05:00:00,2,326,5,25,1.6,19,BKN,n,4000,BR,2024-12-25 09:00:00
214,SBMY,2024-12-25 08:00:00,3,356,7,26,,3,SCT,n,9999,,2024-12-25 12:00:00
215,SBMY,2024-12-25 11:00:00,2,334,8,29,0.6,21,BKN,s,7000,TS,2024-12-25 15:00:00
216,SBMY,2024-12-25 14:00:00,2,314,6,32,0.4,21,BKN,s,7000,TS,2024-12-25 18:00:00
217,SBMY,2024-12-25 17:00:00,3,292,7,30,1.7,21,BKN,s,7000,TS,2024-12-25 21:00:00
218,SBMY,2024-12-25 20:00:00,1,199,3,27,3.6,21,BKN,s,7000,TS,2024-12-26 00:00:00
219,SBMY,2024-12-25 23:00:00,1,87,2,26,3.2,6,BKN,n,3500,RA,2024-12-26 03:00:00
220,SBMY,2024-12-26 02:00:00,1,77,3,25,1,21,BKN,s,7000,TS,2024-12-26 06:00:00
221,SBMY,2024-12-26 05:00:00,2,10,4,25,6,21,BKN,s,7000,TS,2024-12-26 09:00:00
222,SBMY,2024-12-26 08:00:00,3,346,7,26,1,19,BKN,n,4000,BR,2024-12-26 12:00:00
223,SBMY,2024-12-26 11:00:00,3,317,10,28,1.4,21,BKN,s,7000,TS,2024-12-26 15:00:00
224,SBMY,2024-12-26 14:00:00,3,321,10,30,0.7,21,BKN,s,7000,TS,2024-12-26 18:00:00
225,SBMY,2024-12-26 17:00:00,2,286,9,29,1.8,21,BKN,s,7000,TS,2024-12-26 21:00:00
226,SBMY,2024-12-26 20:00:00,1,11,4,26,3.6,21,BKN,s,7000,TS,2024-12-27 00:00:00
227,SBMY,2024-12-26 23:00:00,1,255,4,26,2.5,19,BKN,n,4000,BR,2024-12-27 03:00:00
228,SBMY,2024-12-27 02:00:00,2,317,4,25,,4,SCT,n,9999,,2024-12-27 06:00:00
229,SBMY,2024-12-27 05:00:00,1,328,3,25,1.7,19,BKN,n,4000,BR,2024-12-27 09:00:00
230,SBMY,2024-12-27 08:00:00,2,25,6,25,4.5,14,BKN,s,7000,TS,2024-12-27 12:00:00
231,SBMY,2024-12-27 11:00:00,2,352,8,28,1,19,BKN,n,4000,BR,2024-12-27 15:00:00
232,SBMY,2024-12-27 14:00:00,1,77,6,29,0.8,21,BKN,s,7000,TS,2024-12-27 18:00:00
233,SBMY,2024-12-27 17:00:00,1,246,7,28,3.2,21,BKN,s,7000,TS,2024-12-27 21:00:00
234,SBMY,2024-12-27 20:00:00,1,303,4,26,5,21,BKN,s,7000,TS,2024-12-28 00:00:00
235,SWPI,2024-12-22 02:00:00,2,145,3,29,,3,SCT,n,9999,,2024-12-22 06:00:00
236,SWPI,2024-12-22 05:00:00,2,142,3,28,,3,SCT,n,9999,,2024-12-22 09:00:00
237,SWPI,2024-12-22 08:00:00,3,110,7,29,,3,SCT,n,9999,,2024-12-22 12:00:00
238,SWPI,2024-12-22 11:00:00,6,56,13,33,,3,SCT,n,9999,,2024-12-22 15:00:00
239,SWPI,2024-12-22 14:00:00,6,46,14,34,,3,SCT,n,9999,,2024-12-22 18:00:00
240,SWPI,2024-12-22 17:00:00,5,47,12,33,,2,FEW,n,9999,,2024-12-22 21:00:00
241,SWPI,2024-12-22 20:00:00,2,52,4,30,,1,CAVOK,n,9999,,2024-12-23 00:00:00
242,SWPI,2024-12-22 23:00:00,2,131,3,29,,2,FEW,n,9999,,2024-12-23 03:00:00
243,SWPI,2024-12-23 02:00:00,3,47,4,28,,3,SCT,n,9999,,2024-12-23 06:00:00
